4880731,USD,アメリカ,ワシントン
5128581,USD,アメリカ,ニューヨーク
4044012,USD,グアム,ハガニア
4038659,USD,グアム,タモン
5856195,USD,ハワイ,ホノルル
6094817,CAD,カナダ,オタワ
6167865,CAD,カナダ,トロント
3469058,BRL,ブラジル,ブラジリア
3448439,BRL,ブラジル,サンパウロ
3530597,MXN,メキシコ,メキシコシティー
3553478,CUC,キューバ,ハバナ
3936456,PEN,ペルー,リマ
3435910,ARS,アルゼンチン,ブエノスアイレス
3871336,CLP,チリ,サンティアゴ
3646738,VEF,ベネズエラ,カラカス
3688689,COP,コロンビア,ボゴタ
3652462,USD,エクアドル,キト
3657509,USD,エクアドル,グアヤキル
3903987,BOB,ボリビア,スクレ
3904906,BOB,ボリビア,サンタクルス
3441575,UYU,ウルグアイ,モンテビデオ
3439389,PYG,パラグアイ,アスンシオン
4568127,USD,プエルトリコ,サンフアン
3571824,BSD,バハマ,ナッソー
3703443,PAB,パナマ,パナマシティ
3489854,JMD,ジャマイカ,キングストン
3621849,CRC,コスタリカ,サンホセ
3492908,DOP,ドミニカ,ドミニカ共和国